Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,ALBANIA,TIRANA,,,,,,62,32,10,31.3%,21,9,14.5%,62,53,9,14.5%
Austria,ALGERIA,ALGIERS,,,,,,2481,1658,1461,88.1%,1,822,33.1%,"2,481","1,659",822,33.1%
Austria,ARGENTINA,BUENOS AIRES,,,,,,16,16,16,100.0%,,,,16,16,,
Austria,AUSTRALIA,CANBERRA,,,,,,2776,2653,989,37.3%,1,122,4.4%,"2,776","2,654",122,4.4%
Austria,AZERBAIJAN,BAKU,1,1,1,,,1976,1895,1769,93.4%,2,79,4.0%,"1,977","1,898",79,4.0%
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,616,615,615,100.0%,,1,0.2%,616,615,1,0.2%
Austria,BRAZIL,BRASILIA,,,,,,37,37,36,97.3%,,,,37,37,,
Austria,BULGARIA,SOFIA,,,,,,217,199,162,81.4%,13,5,2.3%,217,212,5,2.3%
Austria,CANADA,OTTAWA,,,,,,686,659,107,16.2%,1,26,3.8%,686,660,26,3.8%
Austria,CHILE,SANTIAGO DE CHILE,,,,,,22,22,17,77.3%,,,,22,22,,
Austria,CHINA,BEIJING,1,1,,,,36365,35764,1125,3.1%,4,597,1.6%,"36,366","35,769",597,1.6%
Austria,CHINA,SHANGHAI,,,,,,45037,44636,3442,7.7%,,401,0.9%,"45,037","44,636",401,0.9%
Austria,COLOMBIA,BOGOTA,,,,,,19,16,16,100.0%,,3,15.8%,19,16,3,15.8%
Austria,CROATIA,ZAGREB,,,,,,261,224,235,104.9%,23,14,5.4%,261,247,14,5.4%
Austria,CUBA,HAVANA,,,,,,521,490,128,26.1%,,31,6.0%,521,490,31,6.0%
Austria,CYPRUS,NICOSIA,,,,,,494,485,332,68.5%,4,5,1.0%,494,489,5,1.0%
Austria,EGYPT,CAIRO,,,,,,4993,4132,2872,69.5%,39,822,16.5%,"4,993","4,171",822,16.5%
Austria,ETHIOPIA,ADDIS ABEBA,,,,,,670,638,108,16.9%,9,23,3.4%,670,647,23,3.4%
Austria,GERMANY,MUNICH,,,,,,111,106,96,90.6%,3,2,1.8%,111,109,2,1.8%
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,495,493,98,19.9%,,2,0.4%,495,493,2,0.4%
Austria,INDIA,NEW DELHI,,,,,,36820,34792,34812,100.1%,26,2002,5.4%,"36,820","34,818","2,002",5.4%
Austria,INDONESIA,JAKARTA,,,,,,6345,6325,668,10.6%,,20,0.3%,"6,345","6,325",20,0.3%
Austria,IRAN,TEHERAN,,,,,,9179,5327,1051,19.7%,160,3692,40.2%,"9,179","5,487","3,692",40.2%
Austria,IRELAND,DUBLIN,,,,,,575,574,121,21.1%,,1,0.2%,575,574,1,0.2%
Austria,ISRAEL,TEL AVIV,1,1,,,,641,592,127,21.5%,3,46,7.2%,642,596,46,7.2%
Austria,JAPAN,TOKYO,,,,,,543,543,38,7.0%,,,,543,543,,
Austria,JORDAN,AMMAN,1,1,,,,3779,3232,984,30.4%,32,515,13.6%,"3,780","3,265",515,13.6%
Austria,KAZAKHSTAN,ASTANA,1,1,,,,6698,6559,683,10.4%,2,137,2.0%,"6,699","6,562",137,2.0%
Austria,KENYA,NAIROBI,,,,,,1390,1131,152,13.4%,6,253,18.2%,"1,390","1,137",253,18.2%
Austria,KUWAIT,KUWAIT,,,,,,10502,9933,8865,89.2%,189,380,3.6%,"10,502","10,122",380,3.6%
Austria,LEBANON,BEIRUT,,,,,,3007,2842,921,32.4%,26,139,4.6%,"3,007","2,868",139,4.6%
Austria,MALAYSIA,KUALA LUMPUR,,,,,,653,604,197,32.6%,,49,7.5%,653,604,49,7.5%
Austria,MEXICO,MEXICO CITY,,,,,,38,38,38,100.0%,,,,38,38,,
Austria,MOROCCO,RABAT,,,,,,984,632,152,24.1%,2,350,35.6%,984,634,350,35.6%
Austria,NIGERIA,ABUJA,,,,,,1933,950,147,15.5%,90,893,46.2%,"1,933","1,040",893,46.2%
Austria,NORTH MACEDONIA,SKOPJE,,,,,,1274,15,922,6146.7%,918,341,26.8%,"1,274",933,341,26.8%
Austria,PAKISTAN,ISLAMABAD,,,,,,1179,626,78,12.5%,1,552,46.8%,"1,179",627,552,46.8%
Austria,PERU,LIMA,,,,,,12,12,12,100.0%,,,,12,12,,
Austria,PHILIPPINES,MANILA,,,,,,4601,4224,4224,100.0%,,377,8.2%,"4,601","4,224",377,8.2%
Austria,ROMANIA,BUCHAREST,,,,,,256,237,69,29.1%,,19,7.4%,256,237,19,7.4%
Austria,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,40262,39429,29637,75.2%,136,697,1.7%,"40,263","39,566",697,1.7%
Austria,SAUDI ARABIA,RIYADH,1,1,1,,,13244,9179,12148,132.3%,3713,352,2.7%,"13,245","12,893",352,2.7%
Austria,SENEGAL,DAKAR,,,,,,1157,535,126,23.6%,,622,53.8%,"1,157",535,622,53.8%
Austria,SERBIA,BELGRADE,,,,,,540,519,421,81.1%,,21,3.9%,540,519,21,3.9%
Austria,SLOVAKIA,BRATISLAVA,,,,,,33,31,27,87.1%,1,1,3.0%,33,32,1,3.0%
Austria,SLOVENIA,LJUBLJANA,,,,,,25,25,25,100.0%,,,,25,25,,
Austria,SOUTH AFRICA,PRETORIA,3,3,3,,,6412,5615,6255,111.4%,668,129,2.0%,"6,415","6,286",129,2.0%
Austria,SOUTH KOREA,SEOUL,,,,,,188,183,172,94.0%,,5,2.7%,188,183,5,2.7%
Austria,SYRIA,DAMASCUS,,,,,,231,222,61,27.5%,9,,,231,231,,
Austria,TAIWAN,TAIPEI,,,,,,154,150,143,95.3%,,4,2.6%,154,150,4,2.6%
Austria,THAILAND,BANGKOK,,,,,,21487,21174,21173,100.0%,,313,1.5%,"21,487","21,174",313,1.5%
Austria,TUNISIA,TUNIS,,,,,,1947,1415,619,43.7%,2,530,27.2%,"1,947","1,417",530,27.2%
Austria,TURKEY,ANKARA,1,1,,,,5308,5300,562,10.6%,2,6,0.1%,"5,309","5,303",6,0.1%
Austria,TURKEY,ISTANBUL,,,,,,13202,10813,7983,73.8%,7,2382,18.0%,"13,202","10,820","2,382",18.0%
Austria,UKRAINE,KYIV,1,1,,,,1697,1640,1092,66.6%,4,53,3.1%,"1,698","1,645",53,3.1%
Austria,UNITED ARAB EMIRATES,ABU DHABI,1,1,,,,4612,3707,2723,73.5%,30,875,19.0%,"4,613","3,738",875,19.0%
Austria,UNITED KINGDOM,LONDON,1,1,,,,3162,2940,1401,47.7%,34,188,5.9%,"3,163","2,975",188,5.9%
Austria,USA,"LOS ANGELES, CA",,,,,,738,711,709,99.7%,,27,3.7%,738,711,27,3.7%
