,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
0,AFGHANISTAN,2017,1910,1164,3074,0.6213402732595966,1.0,AFGHANISTAN,Afghanistan,Asia-Pacific,163.0,40.0,48.9,12.6,28.4,27.5,91.6,79.9,97.3,54.2,59.9,69.3,66.0,0.0,0.0,7.0,20.0,20.0,6.5,27.1,Afghanistan,32.0,$62.3 ,1.5,5.4,"$1,947",9.6,-1.5,58.0,6.8,,,
1,AFGHANISTAN,2018,1123,18,1141,0.9842243645924628,1.0,AFGHANISTAN,Afghanistan,Asia-Pacific,154.0,38.0,,17.9,28.2,26.2,91.8,79.3,98.3,53.0,57.3,77.8,66.0,10.0,10.0,7.0,20.0,20.0,5.0,26.3,Afghanistan,33.4,$64.1 ,1.5,4.4,"$1,918.6",8.5,4.4,99.6,8.3,,,51.3
2,ALBANIA,2017,1150,93,1243,0.9251810136765889,2.0,ALBANIA,Albania,Europe,65.0,30.0,64.4,54.0,28.5,39.7,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0,1.1,23.0,15.0,23.6,30.0,Albania,2.8,$32.7 ,2.6,1.9,"$11,301",17.3,1.9,"1,003.3",71.9,,,
3,ALBANIA,2018,1443,142,1585,0.910410094637224,2.0,ALBANIA,Albania,Europe,65.0,32.0,,54.1,25.4,39.9,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0,1.1,23.0,15.0,27.2,30.1,Albania,2.9,$34.2 ,2.6,2.0,"$11,840.2",16.3,1.3,"1,124.3",71.5,,,64.5
4,ALGERIA,2017,503791,279740,783531,0.6429751981733971,3.0,ALGERIA,Algeria,Middle East / North Africa,172.0,14.0,46.5,38.2,29.6,31.7,81.1,51.0,19.8,62.1,49.5,67.0,63.3,35.0,30.0,8.4,35.0,23.0,11.7,44.4,Algeria,39.5,$578.7 ,3.7,3.3,"$14,504",10.5,4.8,-587.3,8.7,,,
5,ALGERIA,2018,386366,324291,710657,0.5436743745576277,3.0,ALGERIA,Algeria,Middle East / North Africa,172.0,14.0,,27.8,35.2,29.0,74.0,45.9,19.2,68.1,48.7,69.9,63.5,25.0,30.0,8.3,35.0,23.0,29.1,42.5,Algeria,40.8,$612.5 ,3.7,3.6,"$15,026.5",11.2,6.4,"1,546.0",20.4,,,44.7
6,ANGOLA,2017,88155,21569,109724,0.803424957165251,4.0,ANGOLA,Angola,Sub-Saharan Africa,165.0,41.0,48.5,36.4,19.8,12.8,87.7,58.6,70.7,58.5,40.4,70.6,56.7,30.0,40.0,11.7,17.0,30.0,6.5,28.9,Angola,25.1,$184.4 ,3.0,4.7,"$7,344",7.6,10.3,"8,680.9",62.3,,,
7,ANGOLA,2018,84214,23127,107341,0.7845464454402326,4.0,ANGOLA,Angola,Sub-Saharan Africa,164.0,40.0,,36.0,25.4,18.9,82.4,69.1,54.8,58.3,50.9,58.5,59.5,30.0,40.0,10.2,17.0,30.0,24.0,32.1,Angola,27.4,$187.3 ,3.0,4.0,"$6,844.4",6.6,32.4,"14,363.6",71.9,,,48.6
8,ARGENTINA,2017,928,65,993,0.9345417925478349,5.0,ARGENTINA,Argentina,Americas,156.0,26.0,50.4,32.4,39.6,38.2,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50.0,50.0,6.6,35.0,35.0,35.9,43.9,Argentina,42.4,$972.0 ,1.2,2.7,"$22,554",6.7,26.5,"11,654.9",56.5,,,
9,ARGENTINA,2018,878,62,940,0.9340425531914893,5.0,ARGENTINA,Argentina,Americas,144.0,26.0,,40.8,44.5,32.6,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,7.4,35.0,35.0,31.3,38.5,Argentina,43.6,$874.1 ,1.2,-0.2,"$20,047.5",6.6,58.4,"5,745.2",51.3,,,52.3
10,ARMENIA,2017,57626,8473,66099,0.8718134918833871,6.0,ARMENIA,Armenia,Europe,33.0,19.0,70.3,55.5,42.5,43.4,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80.0,70.0,2.4,26.0,20.0,23.5,26.4,Armenia,3.3,$25.3 ,3.0,4.3,"$8,468",16.3,3.7,180.5,46.6,,,
11,ARMENIA,2018,52100,6939,59039,0.8824675214688595,6.0,ARMENIA,Armenia,Europe,44.0,20.0,,55.3,47.4,40.5,84.7,80.0,67.2,78.7,69.9,75.8,80.0,75.0,70.0,2.5,26.0,20.0,21.3,25.8,Armenia,3.0,$25.8 ,3.0,3.5,"$8,621.0",16.8,-1.4,338.0,51.8,,,68.7
12,AUSTRALIA,2017,14045,437,14482,0.9698246098605166,7.0,AUSTRALIA,Australia,Asia-Pacific,5.0,4.0,81.0,81.7,92.9,74.8,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0,1.9,45.0,30.0,27.5,37.2,Australia,23.9,"$1,138.1 ",2.5,2.7,"$47,389",6.3,1.5,"22,264.5",36.8,,,
13,AUSTRALIA,2018,14662,432,15094,0.9713793560355108,7.0,AUSTRALIA,Australia,Asia-Pacific,5.0,4.0,,78.7,93.4,77.4,63.0,61.2,84.3,89.1,79.7,87.4,86.2,80.0,90.0,1.9,45.0,30.0,27.8,36.0,Australia,24.3,"$1,187.3 ",2.5,2.7,"$48,899.1",5.7,1.3,"48,190.2",41.1,,,80.9
14,AZERBAIJAN,2017,52225,7942,60167,0.8680007312978876,9.0,AZERBAIJAN,Azerbaijan,Asia-Pacific,68.0,15.0,63.6,50.5,33.0,37.6,87.7,57.5,97.4,71.5,75.0,73.6,74.4,55.0,50.0,5.3,25.0,20.0,14.2,38.5,Azerbaijan,9.5,$169.4 ,1.1,2.4,"$17,993",4.7,4.0,"4,047.7",36.1,,,
15,AZERBAIJAN,2018,52496,6257,58753,0.8935033104692527,9.0,AZERBAIJAN,Azerbaijan,Asia-Pacific,67.0,14.0,,53.6,36.8,39.9,87.5,59.4,95.5,72.3,71.9,65.6,74.6,55.0,60.0,5.2,25.0,20.0,15.0,36.8,Azerbaijan,9.5,$165.5 ,1.1,1.6,"$17,438.6",5.1,12.4,"4,500.0",37.7,,,64.3
