,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
0,AUSTRIA,2017,82,1,83,0.9879518072289156,8.0,AUSTRIA,Austria,Europe,30.0,17.0,72.3,86.0,81.8,75.2,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0,1.5,50.0,25.0,43.0,51.9,Austria,8.6,$404.3 ,0.9,1.0,"$47,250",5.7,0.8,"3,837.4",86.2,,,
1,AUSTRIA,2018,49,13,62,0.7903225806451613,8.0,AUSTRIA,Austria,Europe,32.0,17.0,,83.5,80.9,73.5,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0,1.6,50.0,25.0,43.5,51.8,Austria,8.7,$417.2 ,0.9,0.8,"$48,004.7",6.1,1.0,"-6,088.5",83.9,,,71.8
2,BELGIUM,2017,44,2,46,0.9565217391304348,15.0,BELGIUM,Belgium,Europe,49.0,25.0,67.8,83.3,69.3,71.5,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0,1.5,50.0,33.0,44.7,53.9,Belgium,11.2,$494.1 ,1.4,0.9,"$43,585",8.7,0.6,"31,029.5",106.3,,,
3,BELGIUM,2018,35,4,39,0.8974358974358975,15.0,BELGIUM,Belgium,Europe,52.0,25.0,,81.2,69.5,70.9,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0,1.6,50.0,33.0,44.8,54.1,Belgium,11.3,$509.5 ,1.4,0.9,"$45,046.9",8.3,1.8,"33,102.7",105.5,,,67.5
4,DENMARK,2017,553,1,554,0.9981949458483754,45.0,DENMARK,Denmark,Europe,18.0,9.0,75.1,86.7,68.5,84.9,37.2,5.7,95.4,93.9,85.8,85.5,87.0,90.0,80.0,1.5,56.0,23.5,50.9,55.7,Denmark,5.6,$258.7 ,1.2,0.7,"$45,709",6.3,0.5,"3,641.5",45.6,,,
5,DENMARK,2018,722,7,729,0.99039780521262,45.0,DENMARK,Denmark,Europe,12.0,6.0,,84.8,83.6,84.1,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90.0,80.0,1.6,56.0,23.5,46.6,54.6,Denmark,5.7,$273.9 ,1.2,1.1,"$47,985.4",6.1,0.3,950.7,39.9,,,76.6
6,FINLAND,2017,12,2,14,0.8571428571428571,57.0,FINLAND,Finland,Europe,24.0,13.0,74.0,90.6,82.7,90.0,66.6,0.0,77.3,90.2,53.4,85.1,87.0,85.0,80.0,1.5,31.8,20.0,43.9,58.5,Finland,5.5,$225.0 ,0.4,0.0,"$41,120",9.6,-0.2,"8,289.6",62.4,,,
7,FINLAND,2018,11,2,13,0.8461538461538461,57.0,FINLAND,Finland,Europe,26.0,15.0,,89.0,82.7,89.8,66.5,2.3,81.1,89.9,50.5,86.0,86.9,85.0,80.0,1.6,31.8,20.0,44.0,57.1,Finland,5.5,$231.4 ,0.4,-0.2,"$42,164.6",9.0,0.4,42.0,63.6,,,74.1
8,FRANCE,2017,40,2,42,0.9523809523809523,58.0,FRANCE,France,Europe,72.0,32.0,63.3,85.0,72.7,69.7,47.6,2.0,57.0,78.0,44.1,81.6,82.0,70.0,70.0,1.5,45.0,34.3,45.2,56.9,France,64.2,"$2,646.9 ",1.1,0.8,"$41,181",10.6,0.1,"42,882.6",96.8,,,
9,FRANCE,2018,84,4,88,0.9545454545454546,58.0,FRANCE,France,Europe,71.0,34.0,,84.0,72.7,65.1,47.3,2.7,60.8,80.2,45.0,81.6,81.9,75.0,70.0,1.6,45.0,34.3,45.5,57.0,France,64.6,"$2,733.7 ",1.1,0.8,"$42,314.0",10.0,0.3,"28,351.6",96.6,,,63.9
10,GERMANY,2017,212,11,223,0.9506726457399103,62.0,GERMANY,Germany,Europe,26.0,15.0,73.8,82.9,79.5,77.7,61.9,41.4,89.9,86.6,42.8,85.9,87.0,80.0,70.0,1.5,45.0,15.8,36.1,44.0,Germany,81.4,"$3,840.6 ",1.5,1.6,"$46,893",4.6,0.1,"31,719.3",71.0,,,
11,GERMANY,2018,146,11,157,0.9299363057324841,62.0,GERMANY,Germany,Europe,25.0,14.0,,81.0,78.0,75.3,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80.0,70.0,1.6,47.5,15.8,36.9,44.2,Germany,82.7,"$3,980.3 ",1.5,1.2,"$48,110.8",4.3,0.4,"9,528.3",67.6,,,74.2
12,GREECE,2017,42,4,46,0.9130434782608695,64.0,GREECE,Greece,Europe,127.0,43.0,55.0,52.5,56.1,41.3,61.1,5.4,58.1,74.3,51.0,78.2,82.0,60.0,40.0,1.5,42.0,29.0,35.9,55.5,Greece,11.0,$286.0 ,-0.2,-3.8,"$26,449",24.9,-1.1,-289.5,178.4,,,
13,GREECE,2018,53,9,62,0.8548387096774194,64.0,GREECE,Greece,Europe,115.0,43.0,,52.3,59.0,37.9,60.4,20.9,70.5,74.4,54.4,81.0,81.9,55.0,40.0,1.6,42.0,29.0,36.8,51.3,Greece,10.9,$289.4 ,-0.2,-2.1,"$26,669.1",23.9,0.0,"3,126.3",181.3,,,57.3
14,HUNGARY,2017,5,1,6,0.8333333333333334,72.0,HUNGARY,Hungary,Europe,56.0,27.0,65.8,60.1,51.8,41.5,79.3,25.3,79.3,64.0,64.4,91.7,87.0,75.0,70.0,1.5,15.0,19.0,38.5,50.2,Hungary,9.9,$258.4 ,2.9,1.7,"$26,222",7.0,-0.1,"1,269.9",75.5,,,
15,HUNGARY,2018,6,1,7,0.8571428571428571,72.0,HUNGARY,Hungary,Europe,55.0,26.0,,57.6,57.1,36.4,78.6,29.4,82.4,61.8,68.7,91.6,86.9,80.0,70.0,1.6,15.0,19.0,39.4,48.5,Hungary,9.8,$270.3 ,2.9,1.9,"$27,481.8",5.2,0.4,"-5,313.6",74.2,,,66.7
16,ITALY,2017,173,8,181,0.9558011049723757,80.0,ITALY,Italy,Europe,79.0,34.0,62.5,74.6,55.4,44.7,54.9,22.3,66.9,69.8,52.9,86.9,87.0,85.0,50.0,1.5,43.0,27.5,43.6,50.4,Italy,60.2,"$2,170.9 ",0.8,-0.7,"$35,708",12.1,0.1,"20,278.7",132.6,,,
17,ITALY,2018,89,14,103,0.8640776699029126,80.0,ITALY,Italy,Europe,79.0,36.0,,71.2,60.9,40.1,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85.0,50.0,1.6,43.0,27.5,43.3,50.3,Italy,60.7,"$2,234.5 ",0.8,-0.6,"$36,833.1",11.5,-0.1,"28,954.8",132.6,,,62.5
18,LATVIA,2018,8,1,9,0.8888888888888888,92.0,LATVIA,Latvia,Europe,28.0,16.0,,68.3,58.9,45.4,84.0,59.0,95.3,80.1,72.5,87.3,86.9,85.0,60.0,1.6,23.0,15.0,29.0,37.0,Latvia,2.0,$50.6 ,2.7,2.7,"$25,709.8",9.9,0.1,126.1,34.3,,,73.6
19,LUXEMBOURG,2017,27,10,37,0.7297297297297297,99.0,LUXEMBOURG,Luxembourg,Europe,14.0,6.0,75.9,85.8,77.0,78.3,64.5,46.0,99.0,68.6,43.8,86.2,87.0,95.0,80.0,1.5,42.0,19.0,37.8,41.5,Luxembourg,0.6,$55.7 ,4.5,2.9,"$98,987",5.9,0.1,"24,595.8",21.8,,,
20,LUXEMBOURG,2018,37,2,39,0.9487179487179487,99.0,LUXEMBOURG,Luxembourg,Europe,14.0,7.0,,82.7,77.9,79.0,65.1,48.5,99.0,69.2,46.2,87.6,86.9,95.0,80.0,1.6,42.0,19.0,37.0,41.4,Luxembourg,0.6,$59.9 ,4.5,3.3,"$104,003.3",5.9,0.1,"26,857.4",22.6,,,76.4
21,MALTA,2017,60,2,62,0.967741935483871,107.0,MALTA,Malta,Europe,50.0,26.0,67.7,67.7,62.9,53.6,62.8,44.9,85.1,62.5,57.2,83.5,87.0,85.0,60.0,1.5,35.0,35.0,35.6,43.3,Malta,0.4,$15.5 ,6.3,3.8,"$36,005",5.4,1.2,"9,532.0",64.0,,,
22,NETHERLANDS,2017,722,41,763,0.9462647444298821,119.0,NETHERLANDS,Netherlands,Europe,15.0,7.0,75.8,87.4,69.9,85.7,53.2,37.0,83.0,80.2,70.5,85.8,87.0,90.0,80.0,1.5,52.0,25.0,36.7,44.9,Netherlands,16.9,$832.6 ,1.9,0.6,"$49,166",6.1,0.2,"72,648.8",67.6,,,
23,NETHERLANDS,2018,972,40,1012,0.9604743083003953,119.0,NETHERLANDS,Netherlands,Europe,17.0,10.0,,87.9,74.1,86.0,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90.0,80.0,1.6,52.0,25.0,37.8,45.0,Netherlands,17.0,$869.4 ,1.9,0.8,"$51,049.0",6.2,0.1,"91,956.2",62.6,,,76.2
24,POLAND,2017,14,3,17,0.8235294117647058,132.0,POLAND,Poland,Europe,45.0,21.0,68.3,60.8,58.0,55.5,76.0,46.9,76.1,67.8,61.5,84.7,87.0,75.0,70.0,1.5,32.0,19.0,31.9,41.6,Poland,38.0,"$1,005.4 ",3.6,3.0,"$26,455",7.4,-0.9,"7,489.4",51.3,,,
25,POLAND,2018,15,6,21,0.7142857142857143,132.0,POLAND,Poland,Europe,45.0,21.0,,61.8,56.6,50.9,75.9,47.8,81.5,67.2,63.9,85.0,86.9,75.0,70.0,1.6,32.0,19.0,32.1,41.7,Poland,38.0,"$1,054.1 ",3.6,2.6,"$27,764.3",6.2,-0.6,"11,357.8",54.2,,,68.5
26,PORTUGAL,2017,2,1,3,0.6666666666666666,133.0,PORTUGAL,Portugal,Europe,77.0,33.0,62.6,73.3,68.9,59.0,59.8,25.1,32.1,86.4,43.4,85.9,87.0,70.0,60.0,1.5,48.0,21.0,34.4,48.2,Portugal,10.4,$289.8 ,1.5,-0.9,"$27,835",12.1,0.5,"6,030.6",128.8,,,
27,PORTUGAL,2018,6,2,8,0.75,133.0,PORTUGAL,Portugal,Europe,72.0,35.0,,69.2,70.1,56.8,59.8,29.8,46.0,83.2,44.1,85.3,86.9,70.0,60.0,1.6,48.0,23.0,34.5,48.4,Portugal,10.3,$298.7 ,1.5,-0.2,"$28,933.3",11.2,0.6,"6,064.6",130.3,,,63.4
28,SLOVENIA,2018,60,13,73,0.821917808219178,149.0,SLOVENIA,Slovenia,Europe,64.0,31.0,,76.6,57.7,52.1,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70.0,50.0,1.6,50.0,17.0,36.6,47.9,Slovenia,2.1,$66.2 ,2.9,0.8,"$32,084.9",8.7,-0.1,919.2,78.9,,,64.8
29,SPAIN,2017,203,10,213,0.9530516431924883,152.0,SPAIN,Spain,Europe,69.0,31.0,63.6,71.2,53.9,57.2,62.5,41.4,26.9,66.9,55.3,85.5,87.0,85.0,70.0,1.5,45.0,25.0,33.2,43.0,Spain,46.4,"$1,615.1 ",3.2,-0.1,"$34,820",21.9,-0.5,"9,243.0",99.0,,,
30,SPAIN,2018,238,16,254,0.937007874015748,152.0,SPAIN,Spain,Europe,60.0,30.0,,73.1,62.0,51.5,62.0,42.8,36.1,66.3,59.0,86.7,86.9,85.0,70.0,1.6,45.0,25.0,33.8,43.7,Spain,46.3,"$1,686.9 ",3.2,0.6,"$36,416.0",19.4,-0.2,"18,658.9",99.3,,,65.1
31,SWEDEN,2017,57,7,64,0.890625,157.0,SWEDEN,Sweden,Europe,19.0,10.0,74.9,88.6,82.2,87.4,44.4,21.7,93.4,90.8,53.2,85.3,87.0,85.0,80.0,1.5,57.0,22.0,42.7,49.3,Sweden,9.8,$473.4 ,4.1,2.0,"$47,922",7.4,0.7,"12,579.4",44.1,,,
32,SWEDEN,2018,84,8,92,0.9130434782608695,157.0,SWEDEN,Sweden,Europe,15.0,8.0,,92.6,88.2,92.9,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85.0,80.0,1.6,57.0,22.0,43.3,50.6,Sweden,10.0,$498.1 ,4.1,2.2,"$49,836.2",7.1,1.1,"19,583.9",41.7,,,76.3
33,SWITZERLAND,2017,43,9,52,0.8269230769230769,158.0,SWITZERLAND,Switzerland,Europe,4.0,1.0,81.5,86.9,77.6,80.3,70.9,67.5,95.8,76.8,72.2,84.4,90.0,85.0,90.0,0.0,11.5,8.5,27.1,33.0,Switzerland,8.2,$482.3 ,0.9,1.5,"$58,552",4.3,-1.1,"68,838.0",45.6,,,
34,SWITZERLAND,2018,57,1,58,0.9827586206896551,158.0,SWITZERLAND,Switzerland,Europe,4.0,1.0,,84.2,82.1,82.8,70.5,65.4,95.9,75.7,73.9,85.2,90.0,85.0,90.0,0.0,40.0,24.0,27.9,34.0,Switzerland,8.3,$496.0 ,0.9,1.4,"$59,560.7",4.6,-0.4,"-26,340.2",45.4,,,81.7
